food_code,Product_Name,Prep_Time_min,Calories_kcal,Sodium_mg,SatFat_g,TotalSugar_g,Category,Price_USD
72125212,"Spinach, frozen, cooked, no added fat",5.0,85.0,530.0,0.3925,1.275,Frozen and Ready Meals,1.41890625
27350100,"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3.0,352.5,757.5,6.0625,1.7249999999999999,Instant Noodles and Soups,1.4242299999999999
28110000,"Beef dinner, NFS, frozen meal",5.0,365.0,670.0,9.695,3.375,Frozen and Ready Meals,1.44425
27313420,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3.0,327.5,762.5,2.7875,1.75,Instant Noodles and Soups,1.4505824999999999
27350090,"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",3.0,342.5,772.5,6.06,1.85,Instant Noodles and Soups,1.4566575000000002
63311180,"Fruit mixture, frozen",5.0,120.0,22.5,0.08750000000000001,22.95,Frozen and Ready Meals,1.4586750000000002
58108050,Pizza rolls,5.0,862.5,1577.5,6.5625,9.85,Frozen and Ready Meals,1.4611162500000001
28110330,"Salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal",5.0,352.5,1472.5,6.17,5.575,Frozen and Ready Meals,1.46615625
58146120,"Pasta with tomato-based sauce, cheese and meat",10.0,367.5,812.5,6.8275,3.225,Macaroni and Pasta,1.4675525
75214031,"Cauliflower, frozen, cooked with butter or margarine",5.0,95.0,367.5,2.4425,2.575,Frozen and Ready Meals,1.4767725
58106650,"Pizza with extra meat, thin crust",5.0,692.5,1455.0,13.899999999999999,6.7,Frozen and Ready Meals,1.47963875
27313410,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3.0,317.5,762.5,2.785,1.875,Instant Noodles and Soups,1.4824575000000002
55100025,"Pancakes, chocolate, frozen",5.0,620.0,1105.0,5.0725,26.200000000000003,Frozen and Ready Meals,1.4853874999999999
28140710,"Chicken, fried, with potatoes, vegetable, frozen meal",5.0,392.5,1672.5,6.6575,3.225,Frozen and Ready Meals,1.4883574999999998
27212200,Beef and noodles with gravy,3.0,347.5,760.0,3.025,0.8,Instant Noodles and Soups,1.523365
27313020,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3.0,377.5,750.0,2.8675,2.1,Instant Noodles and Soups,1.5351375
63223610,"Strawberries, frozen",5.0,87.5,5.0,0.015,11.399999999999999,Frozen and Ready Meals,1.5593612500000003
58148150,Macaroni or pasta salad with shrimp,10.0,507.5,760.0,3.9450000000000003,3.9250000000000003,Macaroni and Pasta,1.5685375
27250630,Tuna noodle casserole with mushroom sauce,3.0,347.5,820.0,4.7525,2.8499999999999996,Instant Noodles and Soups,1.5762175
27313010,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3.0,370.0,792.5,2.955,2.275,Instant Noodles and Soups,1.5764725
58106705,"Pizza with meat and vegetables, from frozen, thick crust",5.0,690.0,1387.5,12.7075,12.125,Frozen and Ready Meals,1.59429
